task,model,split,seed,n,accuracy,macro_f1,weighted_f1,micro_f1,macro_f1_ci_low,macro_f1_ci_high,accuracy_ci_low,accuracy_ci_high
screening_status,finetuned_roberta_base,dev,20260619,750,0.949333,0.605364,0.948040,0.949333,0.586182,0.922708,0.933333,0.964000
screening_status,finetuned_roberta_base,test,20260619,751,0.953395,0.612118,0.952604,0.953395,0.593695,0.929978,0.938748,0.968043
screening_status,finetuned_roberta_base,dev,20260620,750,0.946667,0.603290,0.945882,0.946667,0.584671,0.918987,0.930667,0.961333
screening_status,finetuned_roberta_base,test,20260620,751,0.948069,0.605570,0.947344,0.948069,0.585630,0.916298,0.932091,0.962750
screening_status,finetuned_roberta_base,dev,20260621,750,0.946667,0.601079,0.945019,0.946667,0.579587,0.915276,0.929333,0.961333
screening_status,finetuned_roberta_base,test,20260621,751,0.944075,0.599551,0.942967,0.944075,0.578231,0.910942,0.926764,0.960053
primary_event_type,finetuned_roberta_base,dev,20260619,750,0.769333,0.722826,0.771777,0.769333,0.682676,0.758781,0.738633,0.798700
primary_event_type,finetuned_roberta_base,test,20260619,751,0.768309,0.740423,0.772784,0.768309,0.699942,0.773065,0.739015,0.798935
primary_event_type,finetuned_roberta_base,dev,20260620,750,0.776000,0.731222,0.779419,0.776000,0.688112,0.767150,0.746667,0.806667
primary_event_type,finetuned_roberta_base,test,20260620,751,0.778961,0.739454,0.783446,0.778961,0.699359,0.774451,0.749634,0.806957
primary_event_type,finetuned_roberta_base,dev,20260621,750,0.776000,0.735915,0.778379,0.776000,0.692992,0.769900,0.745333,0.805333
primary_event_type,finetuned_roberta_base,test,20260621,751,0.789614,0.755860,0.793750,0.789614,0.714572,0.789747,0.761618,0.818908
