family,task,model,split,n,accuracy,macro_f1,weighted_f1,micro_f1
majority_tfidf_logreg_rules,screening_status,majority,dev,750,0.841333,0.304610,0.768836,0.841333
majority_tfidf_logreg_rules,screening_status,majority,test,751,0.840213,0.304390,0.767257,0.840213
majority_tfidf_logreg_rules,screening_status,tfidf_word12_logreg_balanced,dev,750,0.870667,0.711385,0.864386,0.870667
majority_tfidf_logreg_rules,screening_status,tfidf_word12_logreg_balanced,test,751,0.878828,0.502534,0.871745,0.878828
majority_tfidf_logreg_rules,screening_status,tfidf_char35_logreg_balanced,dev,750,0.873333,0.736205,0.875611,0.873333
majority_tfidf_logreg_rules,screening_status,tfidf_char35_logreg_balanced,test,751,0.872170,0.505238,0.869609,0.872170
majority_tfidf_logreg_rules,screening_status,rule_reproduction_check_not_independent,dev,750,1.000000,1.000000,1.000000,1.000000
majority_tfidf_logreg_rules,screening_status,rule_reproduction_check_not_independent,test,751,1.000000,1.000000,1.000000,1.000000
majority_tfidf_logreg_rules,primary_event_type,majority,dev,750,0.156000,0.022491,0.042104,0.156000
majority_tfidf_logreg_rules,primary_event_type,majority,test,751,0.157124,0.022631,0.042671,0.157124
majority_tfidf_logreg_rules,primary_event_type,tfidf_word12_logreg_balanced,dev,750,0.564000,0.484147,0.556590,0.564000
majority_tfidf_logreg_rules,primary_event_type,tfidf_word12_logreg_balanced,test,751,0.533955,0.463305,0.521191,0.533955
majority_tfidf_logreg_rules,primary_event_type,tfidf_char35_logreg_balanced,dev,750,0.581333,0.518996,0.583246,0.581333
majority_tfidf_logreg_rules,primary_event_type,tfidf_char35_logreg_balanced,test,751,0.535286,0.472302,0.532551,0.535286
majority_tfidf_logreg_rules,primary_event_type,rule_reproduction_check_not_independent,dev,750,1.000000,1.000000,1.000000,1.000000
majority_tfidf_logreg_rules,primary_event_type,rule_reproduction_check_not_independent,test,751,1.000000,1.000000,1.000000,1.000000
frozen_minilm_embeddings,screening_status,sbert_all_minilm_l6v2_logreg_balanced,dev,750,0.789333,0.552780,0.813571,0.789333
frozen_minilm_embeddings,screening_status,sbert_all_minilm_l6v2_logreg_balanced,test,751,0.786951,0.470314,0.811418,0.786951
frozen_minilm_embeddings,primary_event_type,sbert_all_minilm_l6v2_logreg_balanced,dev,750,0.524000,0.463724,0.539763,0.524000
frozen_minilm_embeddings,primary_event_type,sbert_all_minilm_l6v2_logreg_balanced,test,751,0.492676,0.436172,0.506805,0.492676
linear_svc_tfidf,screening_status,tfidf_word13_linear_svc_balanced,dev,750,0.881333,0.733489,0.878545,0.881333
linear_svc_tfidf,screening_status,tfidf_word13_linear_svc_balanced,test,751,0.884154,0.512316,0.878332,0.884154
linear_svc_tfidf,screening_status,tfidf_char36_linear_svc_balanced,dev,750,0.877333,0.737594,0.878185,0.877333
linear_svc_tfidf,screening_status,tfidf_char36_linear_svc_balanced,test,751,0.880160,0.514427,0.877244,0.880160
linear_svc_tfidf,screening_status,tfidf_word13_char36_linear_svc_balanced,dev,750,0.890667,0.743111,0.886983,0.890667
linear_svc_tfidf,screening_status,tfidf_word13_char36_linear_svc_balanced,test,751,0.881491,0.508696,0.875563,0.881491
linear_svc_tfidf,screening_status,tfidf_word13_char36_calibrated_svc_balanced,dev,750,0.889333,0.514801,0.882199,0.889333
linear_svc_tfidf,screening_status,tfidf_word13_char36_calibrated_svc_balanced,test,751,0.880160,0.505010,0.873405,0.880160
linear_svc_tfidf,primary_event_type,tfidf_word13_linear_svc_balanced,dev,750,0.590667,0.490404,0.579137,0.590667
linear_svc_tfidf,primary_event_type,tfidf_word13_linear_svc_balanced,test,751,0.575233,0.492634,0.566233,0.575233
linear_svc_tfidf,primary_event_type,tfidf_char36_linear_svc_balanced,dev,750,0.586667,0.500920,0.582995,0.586667
linear_svc_tfidf,primary_event_type,tfidf_char36_linear_svc_balanced,test,751,0.556591,0.492938,0.553064,0.556591
linear_svc_tfidf,primary_event_type,tfidf_word13_char36_linear_svc_balanced,dev,750,0.596000,0.507544,0.588923,0.596000
linear_svc_tfidf,primary_event_type,tfidf_word13_char36_linear_svc_balanced,test,751,0.565912,0.498839,0.558969,0.565912
linear_svc_tfidf,primary_event_type,tfidf_word13_char36_calibrated_svc_balanced,dev,750,0.598667,0.513545,0.590353,0.598667
linear_svc_tfidf,primary_event_type,tfidf_word13_char36_calibrated_svc_balanced,test,751,0.571238,0.496402,0.563523,0.571238
supervised_minilm_local,screening_status,supervised_minilm_l6v2_local_finetune,dev,750,0.881333,0.536955,0.886755,0.881333
supervised_minilm_local,screening_status,supervised_minilm_l6v2_local_finetune,test,751,0.888149,0.536756,0.890488,0.888149
supervised_minilm_local,primary_event_type,supervised_minilm_l6v2_local_finetune,dev,750,0.545333,0.446321,0.503411,0.545333
supervised_minilm_local,primary_event_type,supervised_minilm_l6v2_local_finetune,test,751,0.505992,0.408335,0.462481,0.505992
